م,العملاء,,رصيد العملاء,,م,الموردين,,رصيد الموردين,,,,,,2717702.1,0
3,مورد,المؤسسة  أبو حسين,تحويل بنكي,,1,10000,,سداد,10000,46144,,السبت,,,
6,مورد,المؤسسة  أبو حسين,تحويل بنكي,,1,239700,,سداد,239700,46145,,الأحد,,,
5,مورد,المؤسسة  أبو حسين,تحويل بنكي,,1,300000,,سداد,300000,46146,,الإثنين,,,
5,مورد,المؤسسة  أبو حسين,تحويل بنكي,,1,200000,,سداد,200000,46147,,الثلاثاء,,,
7,مورد,المؤسسة  أبو حسين,تحويل بنكي,,1,115000,,سداد,115000,46147,,الثلاثاء,,,
4,مورد,المؤسسة  أبو حسين,شراء,ذرة,16.78,14100,,تحصيل,236598,46148,,الأربعاء,,,
7,مورد,المؤسسة  أبو حسين,شراء,ذرة,53.04,13650,,تحصيل,723996,46148,,الأربعاء,,,
19,مورد,المؤسسة  أبو حسين,تحويل بنكي,,1,250000,,سداد,250000,46148,,الأربعاء,,,
8,مورد,المؤسسة  أبو حسين,شراء,ذرة,15.18,13600,,تحصيل,206448,46151,,السبت,,,
,مورد,المؤسسة  أبو حسين,تحويل بنكي,,1,294989,,سداد,294989,46152,,الأحد,,,
,مورد,المؤسسة  أبو حسين,تحويل بنكي,,1,131000,,سداد,131000,46152,,الأحد,,,
,مورد,المؤسسة  أبو حسين,تحويل بنكي,,1,950000,,سداد,950000,46152,,الأحد,,,
#SPILL!,مورد,المؤسسة  أبو حسين,شراء,ذرة,57.77,13500,,تحصيل,779895,46153,,الإثنين,,,
,مورد,المؤسسة  أبو حسين,شراء,ذرة,15.37,13500,,تحصيل,207495,46153,,الإثنين,,,
,مورد,المؤسسة  أبو حسين,تحويل بنكي,,1,250000,,سداد,250000,46153,,الإثنين,,,
3,مورد,المؤسسة  أبو حسين,تحويل بنكي,,1,10000,,سداد,10000,46154,,الثلاثاء,,,
7,مورد,المؤسسة  أبو حسين,تحويل بنكي,,1,250000,,سداد,250000,46154,,الثلاثاء,,,
11,مورد,المؤسسة  أبو حسين,تحويل بنكي,,1,800000,,سداد,800000,46155,,الأربعاء,,,
7,مورد,المؤسسة  أبو حسين,شراء,ذرة,15.07,13550,,تحصيل,204198.5,46156,,الخميس,,,
16,مورد,المؤسسة  أبو حسين,تحويل بنكي,,1,100000,,سداد,100000,46156,,الخميس,,,
17,مورد,المؤسسة  أبو حسين,تحويل بنكي,,1,120000,,سداد,120000,46156,,الخميس,,,
2,مورد,المؤسسة  أبو حسين,شراء,ذرة,67.13,13500,,تحصيل,906255,46157,,الجمعة,,,
8,مورد,المؤسسة  أبو حسين,تحويل بنكي,,1,720000,,سداد,720000,46159,,الأحد,,,
10,مورد,المؤسسة  أبو حسين,تحويل بنكي,,1,205000,,سداد,205000,46159,,الأحد,,,
5,مورد,المؤسسة  أبو حسين,شراء,ذرة,70.45,13550,,تحصيل,954597.5,46161,,الثلاثاء,,,
5,مورد,المؤسسة  أبو حسين,تحويل بنكي,,1,80000,,سداد,80000,46162,,الأربعاء,,,
6,مورد,المؤسسة  أبو حسين,تحويل بنكي,,1,810000,,سداد,810000,46162,,الأربعاء,,,
3,مورد,المؤسسة  أبو حسين,شراء,ذرة,70.99,13600,,تحصيل,965464,46163,,الخميس,,,
7,مورد,المؤسسة  أبو حسين,شراء,ذرة,15.22,14050,,تحصيل,213841,46163,,الخميس,,,
13,مورد,المؤسسة  أبو حسين,تحويل بنكي,,1,1200000,,سداد,1200000,46166,,الأحد,,,
13,مورد,المؤسسة  أبو حسين,تحويل بنكي,,1,240000,,سداد,240000,46174,,الإثنين,,,
7,مورد,المؤسسة  أبو حسين,شراء,ذرة,66.78,13950,,تحصيل,931581,46175,,الثلاثاء,,,
11,مورد,المؤسسة  أبو حسين,تحويل بنكي,,1,206700,,سداد,206700,46175,,الثلاثاء,,,
11,مورد,المؤسسة  أبو حسين,تحويل بنكي,,1,200000,,سداد,200000,46176,,الأربعاء,,,
14,مورد,المؤسسة  أبو حسين,شراء,,16.66,13950,,تحصيل,232407,46176,,الأربعاء,,,
2,مورد,المؤسسة  أبو حسين,شراء,ذرة,78.31,13350,,تحصيل,1045438.5,46177,,الخميس,,,
11,مورد,المؤسسة  أبو حسين,تحويل بنكي,,1,50000,,سداد,50000,46177,,الخميس,,,
12,مورد,المؤسسة  أبو حسين,تحويل بنكي,,1,70000,,سداد,70000,46177,,الخميس,,,
13,مورد,المؤسسة  أبو حسين,تحويل بنكي,,1,65600,,سداد,65600,46177,,الخميس,,,
17,مورد,المؤسسة  أبو حسين,تحويل بنكي,,1,150000,,سداد,150000,46177,,الخميس,,,
18,مورد,المؤسسة  أبو حسين,تحويل بنكي,,1,100000,,سداد,100000,46177,,الخميس,,,
11,مورد,المؤسسة  أبو حسين,شراء,ذرة,16.42,13300,,تحصيل,218386,46179,,السبت,,,
11,مورد,المؤسسة  أبو حسين,تحويل بنكي,,1,1000000,,سداد,1000000,46180,,الأحد,,,
13,مورد,المؤسسة  أبو حسين,تحويل بنكي,,1,70000,,سداد,70000,46180,,الأحد,,,
11,مورد,المؤسسة  أبو حسين,شراء,ذرة,16.86,13250,,تحصيل,223395,46181,,الإثنين,,,
16,مورد,المؤسسة  أبو حسين,شراء,ذرة,26.92,13250,,تحصيل,356690,46181,,الإثنين,,,
19,مورد,المؤسسة  أبو حسين,شراء,ذرة,76.62,13250,,تحصيل,1015215,46181,,الإثنين,,,
23,مورد,المؤسسة  أبو حسين,تحويل بنكي,,1,598000,,سداد,598000,46181,,الإثنين,,,
6,مورد,المؤسسة  أبو حسين,شراء,ذرة,17.24,13550,,تحصيل,233602,46182,,الثلاثاء,,,
12,مورد,المؤسسة  أبو حسين,تحويل بنكي,,1,935000,,سداد,935000,46183,,الأربعاء,,,
2,مورد,المؤسسة  أبو حسين,شراء,ذرة,79.5,13050,,تحصيل,1037475,46186,,السبت,,,
10,مورد,المؤسسة  أبو حسين,تحويل بنكي,,1,960000,,سداد,960000,46187,,الأحد,,,
11,مورد,المؤسسة  أبو حسين,تحويل بنكي,,1,100000,,سداد,100000,46187,,الأحد,,,
7,مورد,المؤسسة  أبو حسين,تحويل بنكي,,1,45000,,سداد,45000,46189,,الثلاثاء,,,
8,مورد,المؤسسة  أبو حسين,تحويل بنكي,,1,100000,,سداد,100000,46189,,الثلاثاء,,,
9,مورد,المؤسسة  أبو حسين,شراء,ذرة,17.24,13200,,تحصيل,227568,46189,,الثلاثاء,,,
5,مورد,المؤسسة  أبو حسين,شراء,ذرة,16.38,12850,,تحصيل,210483,46190,,الأربعاء,,,
10,مورد,المؤسسة  أبو حسين,شراء,ذرة,73.24,13150,,تحصيل,963106,46190,,الأربعاء,,,
5,مورد,المؤسسة  أبو حسين,تحويل بنكي,,1,50000,,سداد,50000,46191,,الخميس,,,
10,مورد,المؤسسة  أبو حسين,شراء,ذرة,69.12,12950,,تحصيل,895104,46194,,الأحد,,,
14,مورد,المؤسسة  أبو حسين,تحويل بنكي,,1,219500,,سداد,219500,46194,,الأحد,,,
16,مورد,المؤسسة  أبو حسين,تحويل بنكي,,1,1089000,,سداد,1089000,46194,,الأحد,,,
5,مورد,المؤسسة  أبو حسين,شراء,صويا صب,67.81,20850,,تحصيل,1413838.5,46196,,الثلاثاء,,,
11,مورد,المؤسسة  أبو حسين,تحويل بنكي,,1,415000,,سداد,415000,46196,,الثلاثاء,,,
13,مورد,المؤسسة  أبو حسين,تحويل بنكي,,1,500000,,سداد,500000,46196,,الثلاثاء,,,
5,مورد,المؤسسة  أبو حسين,شراء,ذرة,83.77,12700,,تحصيل,1063879,46197,,الأربعاء,,,
8,مورد,المؤسسة  أبو حسين,شراء,صويا صب,9.89,20850,,تحصيل,206206.5,46197,,الأربعاء,,,
22,مورد,المؤسسة  أبو حسين,تحويل بنكي,,1,24000,,سداد,24000,46197,,الأربعاء,,,
23,مورد,المؤسسة  أبو حسين,تحويل بنكي,,1,10000,,سداد,10000,46197,,الأربعاء,,,
24,مورد,المؤسسة  أبو حسين,شراء,ذرة,12.63,12700,,تحصيل,160401,46197,,الأربعاء,,,
26,مورد,المؤسسة  أبو حسين,شراء,ذرة,17.04,12700,,تحصيل,216408,46197,,الأربعاء,,,
12,مورد,المؤسسة  أبو حسين,تحويل بنكي,,1,490000,,سداد,490000,46198,,الخميس,,,
14,مورد,المؤسسة  أبو حسين,تحويل بنكي,,1,100000,,سداد,100000,46198,,الخميس,,,
15,مورد,المؤسسة  أبو حسين,تحويل بنكي,,1,600000,,سداد,600000,46198,,الخميس,,,
6,مورد,المؤسسة  أبو حسين,تحويل بنكي,,1,150000,,سداد,150000,46201,,الأحد,,,
7,مورد,المؤسسة  أبو حسين,تحويل بنكي,,1,150000,,سداد,150000,46201,,الأحد,,,
10,مورد,المؤسسة  أبو حسين,تحويل بنكي,,1,250000,,سداد,250000,46202,,الإثنين,,,
5,مورد,المؤسسة  أبو حسين,شراء,ذرة,16.7,12550,,تحصيل,209585,46203,,الثلاثاء,,,
9,مورد,المؤسسة  أبو حسين,تحويل بنكي,,1,200000,,سداد,200000,46203,,الثلاثاء,,,
9,مورد,المؤسسة  أبو حسين,تحويل بنكي,,1,150000,,سداد,150000,46204,,الأربعاء,,,
10,مورد,المؤسسة  أبو حسين,تحويل بنكي,,1,50000,,سداد,50000,46204,,الأربعاء,,,
15,مورد,المؤسسة  أبو حسين,شراء,ذرة,68.82,12100,,تحصيل,832722,46208,,الأحد,,,
19,مورد,المؤسسة  أبو حسين,تحويل بنكي,,1,740000,,سداد,740000,46208,,الأحد,,,
20,مورد,المؤسسة  أبو حسين,تحويل بنكي,,1,200000,,سداد,200000,46208,,الأحد,,,
,مورد,المؤسسة  أبو حسين,شراء,ذرة,17,12550,,تحصيل,213350,46208,,الأحد,,,
,مورد,المؤسسة  أبو حسين,شراء,ذرة,16.558,12550,,تحصيل,207802.9,46208,,الأحد,,,
,مورد,المؤسسة  أبو حسين,,,0.022,12550,تعديل,تحصيل,276.1,46209,,الإثنين,,,
9,مورد,المؤسسة  أبو حسين,شراء,ذرة,79.8,12350,,تحصيل,985530,46210,,الثلاثاء,,,
17,مورد,المؤسسة  أبو حسين,تحويل بنكي,,1,43450,,سداد,43450,46210,,الثلاثاء,,,
25,مورد,المؤسسة  أبو حسين,تحويل بنكي,,1,280000,,سداد,280000,46210,,الثلاثاء,,,
13,مورد,المؤسسة  أبو حسين,تحويل بنكي,,1,240000,,سداد,240000,,,,,,
14,مورد,المؤسسة  أبو حسين,تحويل بنكي,,1,860000,,سداد,860000,,,,,,
20,مورد,المؤسسة  أبو حسين,شراء,ذرة,77.66,12850,,تحصيل,997931,,,,,,
,مورد,المؤسسة  أبو حسين,تحويل بنكي,,1,65600,,سداد,65600,,,,,,
3,مورد,المؤسسة  أبو حسين,تحويل بنكي,,1,50000,,سداد,50000,46214,,السبت,,,
20,مورد,المؤسسة  أبو حسين,شراء,ذرة,16.38,13350,,تحصيل,218673,46214,,السبت,,,
9,مورد,المؤسسة  أبو حسين,تحويل بنكي,,1,900000,,سداد,900000,46215,,الأحد,,,
5,مورد,المؤسسة  أبو حسين,تحويل بنكي,,1,100000,,سداد,100000,46217,,الثلاثاء,,,
8,مورد,المؤسسة  أبو حسين,شراء,ذرة,66.05,12950,,تحصيل,855347.5,46217,,الثلاثاء,,,
12,مورد,المؤسسة  أبو حسين,تحويل بنكي,,1,800000,,سداد,800000,46217,,الثلاثاء,,,
12,مورد,المؤسسة  أبو حسين,تحويل بنكي,,1,214815,,سداد,214815,46218,,الأربعاء,,,
7,مورد,المؤسسة  أبو حسين,تحويل بنكي,,1,310000,,سداد,310000,46219,,الخميس,,,
9,مورد,المؤسسة  أبو حسين,تحويل بنكي,,1,80000,2تحويل,سداد,80000,46219,,الخميس,,,
12,مورد,المؤسسة  أبو حسين,تحويل بنكي,,1,71800,,سداد,71800,46219,,الخميس,,,
15,مورد,المؤسسة  أبو حسين,شراء,ذرة,17.07,13900,,تحصيل,237273,46219,,الخميس,,,
12,مورد,المؤسسة  أبو حسين,شراء,ذرة,69.7,13200,,تحصيل,920040,46221,,السبت,,,
19,مورد,المؤسسة  أبو حسين,تحويل بنكي,,1,800000,,سداد,800000,46222,,الأحد,,,
9,مورد,المؤسسة  أبو حسين,تحويل بنكي,,1,300000,,سداد,300000,46223,,الإثنين,,,
